Name,Type,Category,Effect,Power,Acc,PP,TM,Prob.(%),Gen
Razor Wind,Normal,Special,"Charges on first turn, attacks on second. High critical hit ratio.",80,100,10,,-,1
Recover,Normal,Status,User recovers half its max HP.,-,-,10,,-,1
Reflect,Psychic,Status,Halves damage from Physical attacks for 5 turns.,-,-,20,TM33,-,1
Rest,Psychic,Status,"User sleeps for 2 turns, but user is fully healed.",-,-,10,TM44,-,1
Roar,Normal,Status,"In battles, the opponent switches. In the wild, the Pokémon runs.",-,-,20,TM05,-,1
Rock Slide,Rock,Physical,May cause flinching.,75,90,10,TM80,30,1
Rock Throw,Rock,Physical,,50,90,15,,-,1
Rolling Kick,Fighting,Physical,May cause flinching.,60,85,15,,30,1
Sand Attack,Ground,Status,Lowers opponent's Accuracy.,-,100,15,,-,1
Scratch,Normal,Physical,,40,100,35,,-,1
Screech,Normal,Status,Sharply lowers opponent's Defense.,-,85,40,,-,1
Seismic Toss,Fighting,Physical,Inflicts damage equal to user's level.,-,100,20,,-,1
Self-Destruct,Normal,Physical,User faints.,200,100,5,,-,1
Sharpen,Normal,Status,Raises user's Attack.,-,-,30,,-,1
Sing,Normal,Status,Puts opponent to sleep.,-,55,15,,100,1
Skull Bash,Normal,Physical,"Raises Defense on first turn, attacks on second.",130,100,10,,100,1
Sky Attack,Flying,Physical,"Charges on first turn, attacks on second. May cause flinching.",140,90,5,,30,1
Slam,Normal,Physical,,80,75,20,,-,1
Slash,Normal,Physical,High critical hit ratio.,70,100,20,,-,1
Sleep Powder,Grass,Status,Puts opponent to sleep.,-,75,15,,-,1
Sludge,Poison,Special,May poison opponent.,65,100,20,,30,1
Smog,Poison,Special,May poison opponent.,30,70,20,,40,1
Smokescreen,Normal,Status,Lowers opponent's Accuracy.,-,100,20,,-,1
Soft-Boiled,Normal,Status,User recovers half its max HP.,-,-,10,,-,1
Solar Beam,Grass,Special,"Charges on first turn, attacks on second.",120,100,10,TM22,-,1
Sonic Boom,Normal,Special,Always inflicts 20 HP.,-,90,20,,-,1
Spike Cannon,Normal,Physical,Hits 2-5 times in one turn.,20,100,15,,-,1
Splash,Normal,Status,Doesn't do ANYTHING.,-,-,40,,-,1
Spore,Grass,Status,Puts opponent to sleep.,-,100,15,,100,1
Stomp,Normal,Physical,May cause flinching.,65,100,20,,30,1
Strength,Normal,Physical,,80,100,15,,-,1
String Shot,Bug,Status,Sharply lowers opponent's Speed.,-,95,40,,-,1
Struggle,Normal,Physical,Only usable when all PP are gone. Hurts the user.,50,100,-,,-,1
Stun Spore,Grass,Status,Paralyzes opponent.,-,75,30,,-,1
Submission,Fighting,Physical,User receives recoil damage.,80,80,20,,-,1
Substitute,Normal,Status,Uses HP to creates a decoy that takes hits.,-,-,10,TM90,-,1
Super Fang,Normal,Physical,Always takes off half of the opponent's HP.,-,90,10,,-,1
Supersonic,Normal,Status,Confuses opponent.,-,55,20,,-,1
Surf,Water,Special,Hits all adjacent Pokémon.,90,100,15,TM94,-,1
Swift,Normal,Special,Ignores Accuracy and Evasiveness.,60,∞,20,,-,1
Swords Dance,Normal,Status,Sharply raises user's Attack.,-,-,20,TM75,-,1
Tackle,Normal,Physical,,40,100,35,,-,1
Tail Whip,Normal,Status,Lowers opponent's Defense.,-,100,30,,-,1
Take Down,Normal,Physical,User receives recoil damage.,90,85,20,,-,1
Teleport,Psychic,Status,Allows user to flee wild battles; also warps player to last PokéCenter.,-,-,20,,-,1
Thrash,Normal,Physical,User attacks for 2-3 turns but then becomes confused.,120,100,10,,-,1
Thunder,Electric,Special,May paralyze opponent.,110,70,10,TM25,30,1
Thunder Punch,Electric,Physical,May paralyze opponent.,75,100,15,,10,1
Thunder Shock,Electric,Special,May paralyze opponent.,40,100,30,,10,1
Thunder Wave,Electric,Status,Paralyzes opponent.,-,90,20,TM73,100,1
Thunderbolt,Electric,Special,May paralyze opponent.,90,100,15,TM24,10,1
Toxic,Poison,Status,Badly poisons opponent.,-,90,10,TM06,-,1
Transform,Normal,Status,User takes on the form and attacks of the opponent.,-,-,10,,-,1
Tri Attack,Normal,Special,"May paralyze, burn or freeze opponent.",80,100,10,,20,1
Twineedle,Bug,Physical,Hits twice in one turn. May poison opponent.,25,100,20,,20,1
Vice Grip,Normal,Physical,,55,100,30,,-,1
Vine Whip,Grass,Physical,,45,100,25,,-,1
Water Gun,Water,Special,,40,100,25,,-,1
Waterfall,Water,Physical,May cause flinching.,80,100,15,TM98,20,1
Whirlwind,Normal,Status,"In battles, the opponent switches. In the wild, the Pokémon runs.",-,-,20,,-,1
Wing Attack,Flying,Physical,,60,100,35,,-,1
Withdraw,Water,Status,Raises user's Defense.,-,-,40,,-,1
Wrap,Normal,Physical,"Traps opponent, damaging them for 4-5 turns.",15,90,20,,-,1
Aeroblast,Flying,Special,High critical hit ratio.,100,95,5,,-,2
Ancient Power,Rock,Special,May raise all user's stats at once.,60,100,5,,10,2
Attract,Normal,Status,"If opponent is the opposite gender, it's less likely to attack.",-,100,15,TM45,-,2
Baton Pass,Normal,Status,User switches out and gives stat changes to the incoming Pokémon.,-,-,40,,-,2
Beat Up,Dark,Physical,Each Pokémon in your party attacks.,-,100,30,,-,2
Belly Drum,Normal,Status,"User loses 50% of its max HP, but Attack raises to maximum.",-,-,10,,-,2
Bone Rush,Ground,Physical,Hits 2-5 times in one turn.,25,90,10,,-,2
Charm,Fairy,Status,Sharply lowers opponent's Attack.,-,100,20,,-,2
Conversion 2,Normal,Status,User changes type to become resistant to opponent's last move.,-,-,30,,-,2
Cotton Spore,Grass,Status,Sharply lowers opponent's Speed.,-,100,40,,-,2
Cross Chop,Fighting,Physical,High critical hit ratio.,100,80,5,,-,2
Crunch,Dark,Physical,May lower opponent's Defense.,80,100,15,,20,2
Curse,Ghost,Status,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.",-,-,10,,-,2
Destiny Bond,Ghost,Status,"If the user faints, the opponent also faints.",-,-,5,,-,2
Detect,Fighting,Status,"Protects the user, but may fail if used consecutively.",-,-,5,,-,2
Dragon Breath,Dragon,Special,May paralyze opponent.,60,100,20,,30,2
Dynamic Punch,Fighting,Physical,Confuses opponent.,100,50,5,,100,2
Encore,Normal,Status,Forces opponent to keep using its last move for 3 turns.,-,100,5,,-,2
Endure,Normal,Status,"Always left with at least 1 HP, but may fail if used consecutively.",-,-,10,,-,2
Extreme Speed,Normal,Physical,User attacks first.,80,100,5,,-,2
False Swipe,Normal,Physical,Always leaves opponent with at least 1 HP.,40,100,40,TM54,-,2
Feint Attack,Dark,Physical,Ignores Accuracy and Evasiveness.,60,∞,20,,-,2
Flail,Normal,Physical,"The lower the user's HP, the higher the power.",-,100,15,,-,2
Flame Wheel,Fire,Physical,May burn opponent.,60,100,25,,10,2
Foresight,Normal,Status,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.",-,-,40,,-,2
Frustration,Normal,Physical,Power decreases with higher Friendship.,-,100,20,TM21,-,2
Fury Cutter,Bug,Physical,Power increases each turn.,40,95,20,,-,2
Future Sight,Psychic,Special,Damage occurs 2 turns later.,120,100,10,,-,2
Giga Drain,Grass,Status,User recovers half the HP inflicted on opponent.,75,100,10,,-,2
Heal Bell,Normal,Status,Heals the user's party's status conditions.,-,-,5,,-,2
Hidden Power,Normal,Special,Type and power depends on user's IVs.,60,100,15,TM10,-,2
Icy Wind,Ice,Special,Lowers opponent's Speed.,55,95,15,,100,2
Iron Tail,Steel,Physical,May lower opponent's Defense.,100,75,15,,10,2
Lock-On,Normal,Status,User's next attack is guaranteed to hit.,-,-,5,,-,2
Mach Punch,Fighting,Physical,User attacks first.,40,100,30,,-,2
Magnitude,Ground,Physical,Hits with random power.,-,100,30,,-,2
Mean Look,Normal,Status,Opponent cannot flee or switch.,-,-,5,,-,2
Megahorn,Bug,Physical,,120,85,10,,-,2
Metal Claw,Steel,Physical,May raise user's Attack.,50,95,35,,10,2
Milk Drink,Normal,Status,User recovers half its max HP.,-,-,10,,-,2
Mind Reader,Normal,Status,User's next attack is guaranteed to hit.,-,-,5,,-,2
Mirror Coat,Psychic,Special,"When hit by a Special Attack, user strikes back with 2x power.",-,100,20,,-,2
Moonlight,Fairy,Status,User recovers HP. Amount varies with the weather.,-,-,5,,-,2
Morning Sun,Normal,Status,User recovers HP. Amount varies with the weather.,-,-,5,,-,2
Mud-Slap,Ground,Special,Lowers opponent's Accuracy.,20,100,10,,100,2
Nightmare,Ghost,Status,The sleeping opponent loses 25% of its max HP each turn.,-,100,15,,-,2
Octazooka,Water,Special,May lower opponent's Accuracy.,65,85,10,,50,2
Outrage,Dragon,Physical,User attacks for 2-3 turns but then becomes confused.,120,100,10,,-,2
Pain Split,Normal,Status,The user's and opponent's HP becomes the average of both.,-,-,20,,-,2
Perish Song,Normal,Status,Any Pokémon in play when this attack is used faints in 3 turns.,-,-,5,,-,2
Powder Snow,Ice,Special,May freeze opponent.,40,100,25,,10,2
Present,Normal,Physical,Either deals damage or heals.,-,90,15,,-,2
Protect,Normal,Status,"Protects the user, but may fail if used consecutively.",-,-,10,TM17,-,2
Psych Up,Normal,Status,Copies the opponent's stat changes.,-,-,10,TM77,-,2
Pursuit,Dark,Physical,Double power if the opponent is switching out.,40,100,20,,-,2
Rain Dance,Water,Status,Makes it rain for 5 turns.,-,-,5,TM18,-,2
Rapid Spin,Normal,Physical,Removes effects of trap moves.,20,100,40,,-,2
Return,Normal,Physical,Power increases with higher Friendship.,-,100,20,TM27,-,2
Reversal,Fighting,Physical,"The lower the user's HP, the higher the power.",-,100,15,,-,2
Rock Smash,Fighting,Physical,May lower opponent's Defense.,40,100,15,,50,2
Rollout,Rock,Physical,Doubles in power each turn for 5 turns.,30,90,20,,-,2
Sacred Fire,Fire,Physical,May burn opponent.,100,95,5,,50,2
Safeguard,Normal,Status,The user's party is protected from status conditions.,-,-,25,TM20,-,2
Sandstorm,Rock,Status,Creates a sandstorm for 5 turns.,-,-,10,TM37,-,2
Scary Face,Normal,Status,Sharply lowers opponent's Speed.,-,100,10,,-,2
Shadow Ball,Ghost,Special,May lower opponent's Special Defense.,80,100,15,TM30,20,2
Sketch,Normal,Status,Permanently copies the opponent's last move.,-,-,1,,-,2
Sleep Talk,Normal,Status,User performs one of its own moves while sleeping.,-,-,10,TM88,-,2
Sludge Bomb,Poison,Special,May poison opponent.,90,100,10,TM36,30,2
Snore,Normal,Special,Can only be used if asleep. May cause flinching.,50,100,15,,30,2
Spark,Electric,Physical,May paralyze opponent.,65,100,20,,30,2
Spider Web,Bug,Status,Opponent cannot escape/switch.,-,-,10,,-,2
Spikes,Ground,Status,Hurts opponents when they switch into battle.,-,-,20,,-,2
Spite,Ghost,Status,The opponent's last move loses 2-5 PP.,-,100,10,,-,2
Steel Wing,Steel,Physical,May raise user's Defense.,70,90,25,TM51,10,2
Sunny Day,Fire,Status,Makes it sunny for 5 turns.,-,-,5,TM11,-,2
Swagger,Normal,Status,"Opponent becomes confused, but its Attack is sharply raised.",-,85,15,TM87,-,2
Sweet Kiss,Fairy,Status,Confuses opponent.,-,75,10,,-,2
Sweet Scent,Normal,Status,Lowers opponent's Evasiveness.,-,-,20,,-,2
Synthesis,Grass,Status,User recovers HP. Amount varies with the weather.,-,-,5,,-,2
Thief,Dark,Status,Also steals opponent's held item.,60,100,25,TM46,-,2
Triple Kick,Fighting,Physical,Hits thrice in one turn at increasing power.,10,90,10,,-,2
Twister,Dragon,Special,May cause flinching. Hits Pokémon using Fly/Bounce with double power.,40,100,20,,20,2
Vital Throw,Fighting,Physical,"User attacks last, but ignores Accuracy and Evasiveness.",70,∞,10,,-,2
Whirlpool,Water,Special,"Traps opponent, damaging them for 4-5 turns.",35,85,15,,-,2
Zap Cannon,Electric,Special,Paralyzes opponent.,120,50,5,,100,2
Aerial Ace,Flying,Physical,Ignores Accuracy and Evasiveness.,60,∞,20,TM40,-,3
Air Cutter,Flying,Special,High critical hit ratio.,60,95,25,,-,3
Arm Thrust,Fighting,Physical,Hits 2-5 times in one turn.,15,100,20,,-,3
Aromatherapy,Grass,Status,Cures all status problems in your party.,-,-,5,,-,3
Assist,Normal,Status,User performs a move known by its allies at random.,-,-,20,,-,3
Astonish,Ghost,Physical,May cause flinching.,30,100,15,,30,3
Blast Burn,Fire,Special,User must recharge next turn.,150,90,5,,-,3
Blaze Kick,Fire,Physical,High critical hit ratio. May burn opponent.,85,90,10,,10,3
Block,Normal,Status,Opponent cannot flee or switch.,-,-,5,,-,3
Bounce,Flying,Physical,"Springs up on first turn, attacks on second. May paralyze opponent.",85,85,5,,30,3
Brick Break,Fighting,Physical,Breaks through Reflect and Light Screen barriers.,75,100,15,TM31,-,3
Bulk Up,Fighting,Status,Raises user's Attack and Defense.,-,-,20,TM08,-,3
Bullet Seed,Grass,Physical,Hits 2-5 times in one turn.,25,100,30,,-,3
Calm Mind,Psychic,Status,Raises user's Special Attack and Special Defense.,-,-,20,TM04,-,3
Camouflage,Normal,Status,Changes user's type according to the location.,-,-,20,,-,3
Charge,Electric,Status,Raises user's Special Defense and next Electric move's power increases.,-,-,20,,-,3
Cosmic Power,Psychic,Status,Raises user's Defense and Special Defense.,-,-,20,,-,3
Covet,Normal,Physical,Opponent's item is stolen by the user.,60,100,25,,-,3
Crush Claw,Normal,Physical,May lower opponent's Defense.,75,95,10,,50,3
Dive,Water,Physical,"Dives underwater on first turn, attacks on second turn.",80,100,10,,-,3
Doom Desire,Steel,Special,Damage occurs 2 turns later.,140,100,5,,-,3
Dragon Claw,Dragon,Physical,,80,100,15,TM02,-,3
Dragon Dance,Dragon,Status,Raises user's Attack and Speed.,-,-,20,,-,3
Endeavor,Normal,Physical,Reduces opponent's HP to same as user's.,-,100,5,,-,3
Eruption,Fire,Status,Stronger when the user's HP is higher.,150,100,5,,-,3
Extrasensory,Psychic,Special,May cause flinching.,80,100,20,,10,3
Facade,Normal,Physical,"Power doubles if user is burned, poisoned, or paralyzed.",70,100,20,TM42,-,3
Fake Out,Normal,Physical,"User attacks first, foe flinches. Only usable on first turn.",40,100,10,,100,3
Fake Tears,Dark,Status,Sharply lowers opponent's Special Defense.,-,100,20,,-,3
Feather Dance,Flying,Status,Sharply lowers opponent's Attack.,-,100,15,,-,3
Flatter,Dark,Status,"Confuses opponent, but raises its Special Attack by two stages.",-,100,15,,-,3
Focus Punch,Fighting,Physical,"If the user is hit before attacking, it flinches instead.",150,100,20,,-,3
Follow Me,Normal,Status,"In Double Battle, the user takes all the attacks.",-,-,20,,-,3
Frenzy Plant,Grass,Special,User must recharge next turn.,150,90,5,,-,3
Grass Whistle,Grass,Status,Puts opponent to sleep.,-,55,15,,-,3
Grudge,Ghost,Status,"If the users faints after using this move, the PP for the opponent's last move is depleted.",-,-,5,,-,3
Hail,Ice,Status,Non-Ice types are damaged for 5 turns.,-,-,10,TM07,-,3
Heat Wave,Fire,Special,May burn opponent.,95,90,10,,10,3
Helping Hand,Normal,Status,"In Double Battles, boosts the power of the partner's move.",-,-,20,,-,3
Howl,Normal,Status,Raises user's Attack.,-,-,40,,-,3
Hydro Cannon,Water,Special,User must recharge next turn.,150,90,5,,-,3
Hyper Voice,Normal,Special,,90,100,10,,-,3
Ice Ball,Ice,Physical,Doubles in power each turn for 5 turns.,30,90,20,,-,3
Icicle Spear,Ice,Physical,Hits 2-5 times in one turn.,25,100,30,,-,3
Imprison,Psychic,Status,Opponent is unable to use moves that the user also knows.,-,-,10,,-,3
Ingrain,Grass,Status,User restores HP each turn. User cannot escape/switch.,-,-,20,,-,3
Iron Defense,Steel,Status,Sharply raises user's Defense.,-,-,15,,-,3
Knock Off,Dark,Physical,Removes opponent's held item for the rest of the battle.,65,100,20,,-,3
Leaf Blade,Grass,Physical,High critical hit ratio.,90,100,15,,-,3
Luster Purge,Psychic,Special,May lower opponent's Special Defense.,70,100,5,,50,3
Magic Coat,Psychic,Status,Reflects moves that cause status conditions back to the attacker.,-,-,15,,-,3
Magical Leaf,Grass,Special,Ignores Accuracy and Evasiveness.,60,∞,20,,-,3
Memento,Dark,Status,"User faints, sharply lowers opponent's Attack and Special Attack.",-,100,10,,-,3
Metal Sound,Steel,Status,Sharply lowers opponent's Special Defense.,-,85,40,,-,3
Meteor Mash,Steel,Physical,May raise user's Attack.,90,90,10,,20,3
Mist Ball,Psychic,Status,May lower opponent's Special Attack.,70,100,5,,50,3
Mud Shot,Ground,Special,Lowers opponent's Speed.,55,95,15,,100,3
Mud Sport,Ground,Status,Weakens the power of Electric-type moves.,-,-,15,,-,3
Muddy Water,Water,Special,May lower opponent's Accuracy.,90,85,10,,30,3
Nature Power,Normal,Status,Uses a certain move based on the current terrain.,-,-,20,TM96,-,3
Needle Arm,Grass,Physical,May cause flinching.,60,100,15,,30,3
Odor Sleuth,Normal,Status,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.",-,-,40,,-,3
Overheat,Fire,Special,Sharply lowers user's Special Attack.,130,90,5,TM50,-,3
Poison Fang,Poison,Physical,May badly poison opponent.,50,100,15,,50,3
Poison Tail,Poison,Physical,High critical hit ratio. May poison opponent.,50,100,25,,10,3
Psycho Boost,Psychic,Special,Sharply lowers user's Special Attack.,140,90,5,,-,3
Recycle,Normal,Status,User's used hold item is restored.,-,-,10,,-,3
Refresh,Normal,Status,"Cures paralysis, poison, and burns.",-,-,20,,-,3
Revenge,Fighting,Physical,Power increases if user was hit first.,60,100,10,,-,3
Rock Blast,Rock,Physical,Hits 2-5 times in one turn.,25,90,10,,-,3
Rock Tomb,Rock,Physical,Lowers opponent's Speed.,60,95,15,TM39,100,3
Role Play,Psychic,Status,User copies the opponent's Ability.,-,-,15,,-,3
Sand Tomb,Ground,Physical,"Traps opponent, damaging them for 4-5 turns.",35,85,15,,-,3
Secret Power,Normal,Physical,Effects of the attack vary with the location.,70,100,20,,30,3
Shadow Punch,Ghost,Physical,Ignores Accuracy and Evasiveness.,60,∞,20,,-,3
Sheer Cold,Ice,Special,"One-Hit-KO, if it hits.",-,-,5,,-,3
Shock Wave,Electric,Special,Ignores Accuracy and Evasiveness.,60,∞,20,,-,3
Signal Beam,Bug,Special,May confuse opponent.,75,100,15,,10,3
Silver Wind,Bug,Special,May raise all stats of user at once.,60,100,5,,10,3
Skill Swap,Psychic,Status,The user swaps Abilities with the opponent.,-,-,10,,-,3
Sky Uppercut,Fighting,Physical,"Hits the opponent, even during Fly.",85,90,15,,-,3
Slack Off,Normal,Status,User recovers half its max HP.,-,-,10,,-,3
Smelling Salts,Normal,Physical,"Power doubles if opponent is paralyzed, but cures it.",70,100,10,,-,3
Snatch,Dark,Status,Steals the effects of the opponent's next move.,-,-,10,,-,3
Spit Up,Normal,Special,Power depends on how many times the user performed Stockpile.,-,100,10,,-,3
Stockpile,Normal,Status,Stores energy for use with Spit Up and Swallow.,-,-,20,,-,3
Sunsteel Strike,Steel,Physical,Ignores the target's ability.,100,100,5,,,3
Superpower,Fighting,Physical,Lowers user's Attack and Defense.,120,100,5,,-,3
Swallow,Normal,Status,"The more times the user has performed Stockpile, the more HP is recovered.",-,-,10,,-,3
Tail Glow,Bug,Status,Drastically raises user's Special Attack.,-,-,20,,-,3
Taunt,Dark,Status,Opponent can only use moves that attack.,-,100,20,TM12,-,3
Teeter Dance,Normal,Status,Confuses all Pokémon.,-,100,20,,-,3
Tickle,Normal,Status,Lowers opponent's Attack and Defense.,-,100,20,,-,3
Torment,Dark,Status,Opponent cannot use the same move in a row.,-,100,15,TM41,-,3
Trick,Psychic,Status,Swaps held items with the opponent.,-,100,10,,-,3
Uproar,Normal,Special,User attacks for 3 turns and prevents sleep.,90,100,10,,-,3
Volt Tackle,Electric,Physical,User receives recoil damage. May paralyze opponent.,120,100,15,,10,3
Water Pulse,Water,Special,May confuse opponent.,60,100,20,,20,3
Water Sport,Water,Status,Weakens the power of Fire-type moves.,-,-,15,,-,3
Water Spout,Water,Special,"The higher the user's HP, the higher the damage caused.",150,100,5,,-,3
Weather Ball,Normal,Special,Move's power and type changes with the weather.,50,100,10,,-,3
